Stations_id	von_datum	bis_datum	Stationshoehe	geoBreite	geoLaenge	Stationsname	Bundesland
1266	20040601	20240126	18	542.992	93.162	Erfde	Schleswig-Holstein
1270	19510101	20240126	316	509.829	109.608	Erfurt-Weimar	Thüringen
1279	19861101	20240126	268	496.497	110.075	Möhrendorf-Kleinseebach	Bayern
1281	19941101	20010501	284	495.653	109.729	Erlangen-Frauenaurach	Bayern
1297	20041001	20240126	156	512.041	100.138	Eschwege	Hessen
1300	20040601	20240126	351	512.540	81.565	Eslohe	Nordrhein-Westfalen
1303	19510101	20240126	150	514.041	69.677	Essen-Bredeney	Nordrhein-Westfalen
1327	20040801	20240126	147	507.119	67.905	Weilerswist-Lommersum	Nordrhein-Westfalen
1332	20050301	20240126	471	484.832	127.241	Falkenberg,Kr.Rottal-Inn	Bayern
1339	20020101	20240126	76	529.157	101.885	Faßberg	Niedersachsen
1341	20081201	20110929	0	546.000	111.500	Fehmarnbelt	Schleswig-Holstein
1346	19520101	20240126	1486	478.748	80.038	Feldberg/Schwarzwald	Baden-Württemberg
1357	20050301	20240126	655	499.807	118.376	Fichtelberg/Oberfranken-Hüttstadl	Bayern
1358	19510101	20240126	1213	504.283	129.536	Fichtelberg	Sachsen
1411	20070101	20240126	747	505.309	100.479	Birx/Rhön	Thüringen
1420	19810101	20240126	100	500.259	85.213	Frankfurt/Main	Hessen
1421	19620101	19840901	125	501.474	86.746	Frankfurt/Main	Hessen
1424	20080801	20240126	121	501.269	86.694	Frankfurt/Main-Westend	Hessen
1425	19480101	19620101	103	501.214	86.604	Frankfurt/Main	Hessen
1426	19610101	19850101	65	523.397	145.080	Frankfurt/Oder	Brandenburg
1443	19510101	20240126	237	480.232	78.343	Freiburg	Baden-Württemberg
1451	20040601	20240126	2	538.277	92.493	Freiburg/Elbe	Niedersachsen
1468	19510101	20240126	797	484.538	84.090	Freudenstadt	Baden-Württemberg
1473	20060101	20190228	414	491.869	113.080	Freystadt-Michelbach	Bayern
1490	19650101	19770801	394	476.454	94.795	Friedrichshafen	Baden-Württemberg
1503	20121001	20240126	6	530.643	79.020	Friesoythe-Altenoythe	Niedersachsen
1504	20020101	20240126	172	511.190	92.799	Fritzlar/Eder	Hessen
1515	20021104	20030814	519	482.000	112.667	Fürstenfeldbruck	Bayern
1526	20041101	20240126	242	505.668	96.532	Fulda-Horas	Hessen
1544	19510101	20240126	47	525.129	113.942	Gardelegen	Sachsen-Anhalt
1550	19480101	20240126	719	474.830	110.621	Garmisch-Partenkirchen	Bayern
1572	20020101	20240126	80	509.593	60.392	Geilenkirchen-Neutevern	Nordrhein-Westfalen
1580	19460101	20240126	111	499.859	79.548	Geisenheim	Hessen
1583	19510101	19710101	823	507.719	137.732	Geisingberg	Sachsen
1584	20090601	20240126	673	479.242	86.474	Geisingen	Baden-Württemberg
1587	19910101	20240126	536	489.481	114.289	Gelbelsee	Bayern
1590	20030701	20240126	37	514.942	62.463	Geldern-Walbeck	Nordrhein-Westfalen
1602	20040701	20240126	177	484.330	79.930	Ohlsbach	Baden-Württemberg
1605	19820101	20240126	35	523.875	121.602	Genthin	Sachsen-Anhalt
1612	19730101	20240126	311	508.812	121.289	Gera-Leumnitz	Thüringen
1639	19500101	20240126	203	506.017	86.439	Gießen/Wettenberg	Hessen
1645	20040501	20240126	340	509.656	90.500	Gilserberg-Moischeid	Hessen
1666	20020101	20240126	12	548.273	95.058	Glücksburg-Meierwik	Schleswig-Holstein
1684	19510101	20240126	239	511.621	149.506	Görlitz	Sachsen
1691	19480101	20240126	167	515.002	99.507	Göttingen	Niedersachsen
1694	19810101	20240126	59	536.058	121.034	Goldberg	Mecklenburg-Vorpommern
1721	20061001	20240126	506	496.640	112.239	Gräfenberg-Kasberg	Bayern
1735	20050301	20240126	628	487.894	136.290	Grainet-Rehberg	Bayern
1736	20020124	20240126	26	535.731	106.797	Grambek	Schleswig-Holstein
1757	19780101	20240126	2	540.967	134.056	Greifswald	Mecklenburg-Vorpommern
1758	19510101	19780101	2	541.000	134.500	Greifswald-Wieck	Mecklenburg-Vorpommern
1759	20001025	20240126	12	542.437	139.102	Greifswalder	Mecklenburg-Vorpommern
1766	19891001	20240126	48	521.344	76.969	Münster/Osnabrück	Nordrhein-Westfalen
1792	20200814	20240126	27	527.553	74.815	Groß	Niedersachsen
1803	19910101	20240126	35	540.714	123.238	Groß	Mecklenburg-Vorpommern
1832	19821101	20240126	1436	491.129	131.338	Großer	Bayern
1833	19480101	19821101	1307	490.851	132.801	Grosser	Bayern
1834	19510101	19780701	913	508.519	104.665	Grosser	Thüringen
1863	20071201	20240126	258	502.667	91.854	Gründau-Breitenborn	Hessen
1869	19810101	20240126	56	533.154	139.339	Grünow	Brandenburg
1886	20160901	20240126	444	484.878	102.608	Günzburg	Bayern
1892	20020101	20131028	72	519.298	83.005	Gütersloh	Nordrhein-Westfalen
1902	19841101	19871001	413	491.273	107.448	Gunzenhausen/Altmühlsee	Bayern
1957	19530101	20150323	93	515.138	119.499	Halle-Kröllwitz	Sachsen-Anhalt
1960	19600101	19710101	102	514.831	119.671	Halle	Sachsen-Anhalt
