Stations_id;von_datum;bis_datum;Stationshoehe;geoBreite;geoLaenge;Stationsname;Bundesland;lat;lon
2708;20060701;20240126;742;476.652;110.805;Kohlgrub,;Bayern;47.6652;11.0805
2712;19710101;20240126;428;476.952;91.307;Konstanz;Baden-Württemberg;47.6952;9.1307
2738;19980101;19980201;776;476.448;117.438;Kreuth;Bayern;47.6448;11.7438
2750;20051101;20240126;310;502.524;113.209;Kronach;Bayern;50.2524;11.3209
2761;19750601;19780601;520;482.510;104.163;Krumbach-Edenhausen;Bayern;48.251;10.4163
2773;20020101;20240126;415;494.283;119.016;Kümmersbruck;Bayern;49.4283;11.9016
2794;19890101;20240126;40;529.362;124.093;Kyritz;Brandenburg;52.9362;12.4093
2796;20020101;20240126;41;539.156;122.790;Laage-Kronskamp;Mecklenburg-Vorpommern;53.9156;12.279
2812;19950101;20240126;156;483.647;78.280;Lahr;Baden-Württemberg;48.3647;7.828
2814;19750601;20240126;687;485.122;97.644;Merklingen;Baden-Württemberg;48.5122;9.7644
2829;19660101;20180710;617;480.772;109.144;Landsberg;Bayern;48.0772;10.9144
2856;20040701;20240126;91;519.173;130.878;Langenlipsdorf;Brandenburg;51.9173;13.0878
2878;20170801;20240126;117;513.909;118.786;Lauchstädt,;Sachsen-Anhalt;51.3909;11.8786
2886;20020101;20240126;539;482.175;99.097;Laupheim;Baden-Württemberg;48.2175;9.9097
2905;20020101;20240126;550;481.849;108.507;Lechfeld;Bayern;48.1849;10.8507
2907;19910101;20240126;7;547.903;89.514;Leck;Schleswig-Holstein;54.7903;8.9514
2920;19820101;19841101;365;487.654;125.121;Leiblfing;Bayern;48.7654;12.5121
2925;19560101;20240126;356;513.932;103.123;Leinefelde;Thüringen;51.3932;10.3123
2928;19510101;20240126;138;513.151;124.462;Leipzig-Holzhausen;Sachsen;51.3151;12.4462
2932;19720501;20240126;131;514.347;122.396;Leipzig/Halle;Sachsen;51.4347;12.2396
2947;20061001;20240126;286;511.333;80.348;Lennestadt-Theten;Nordrhein-Westfalen;51.1333;8.0348
2951;20040601;20240126;20;531.007;114.864;Lenzen/Elbe;Brandenburg;53.1007;11.4864
2953;20070401;20240126;854;478.597;82.308;Lenzkirch-Ruhbühl;Baden-Württemberg;47.8597;8.2308
2961;20020101;20240126;0;544.996;102.737;Leuchtturm;Schleswig-Holstein;54.4996;10.2737
2968;20081201;20240126;43;509.894;69.777;Köln-Stammheim;Nordrhein-Westfalen;50.9894;6.9777
2985;19910305;20240126;321;509.383;142.094;Lichtenhain-Mittelndorf;Sachsen;50.9383;14.2094
3015;19510101;20240126;98;522.085;141.180;Lindenberg;Brandenburg;52.2085;14.118
3023;19510101;20161231;22;525.181;73.081;Lingen;Niedersachsen;52.5181;7.3081
3028;19710401;20240126;157;517.854;88.388;Lippspringe,;Nordrhein-Westfalen;51.7854;8.8388
3031;20040701;20240126;92;516.336;83.945;Lippstadt-Bökenförde;Nordrhein-Westfalen;51.6336;8.3945
3032;19490101;20240126;25;550.110;84.125;List;Schleswig-Holstein;55.011;8.4125
3034;20070101;20240126;496;504.505;116.350;Lobenstein,;Thüringen;50.4505;11.635
3042;20080601;20240126;230;505.617;82.386;Löhnberg-Obershausen;Hessen;50.5617;8.2386
3044;20070701;20180601;22;527.198;77.472;Löningen;Niedersachsen;52.7198;7.7472
3083;20050101;20240126;57;519.267;138.797;Lübben-Blumenfelde;Brandenburg;51.9267;13.8797
3085;19510101;19850301;15;538.773;106.915;Lübeck;Schleswig-Holstein;53.8773;10.6915
3086;19850301;20240126;15;538.025;106.989;Lübeck-Blankensee;Schleswig-Holstein;53.8025;10.6989
3093;19541201;20240126;16;529.724;111.374;Lüchow;Niedersachsen;52.9724;11.1374
3098;19940101;20240126;387;512.452;76.425;Lüdenscheid;Nordrhein-Westfalen;51.2452;7.6425
3126;19550101;20240126;79;521.029;115.827;Magdeburg;Sachsen-Anhalt;52.1029;11.5827
3137;20080501;20230801;195;499.656;82.139;Mainz-Lerchenberg;Rheinland-Pfalz;49.9656;8.2139
3139;19831101;20050101;509;482.166;112.965;Maisach-Gernlinden;Bayern;48.2166;11.2965
3145;19981201;20080901;30;541.800;105.528;Malente,;Schleswig-Holstein;54.18;10.5528
3147;19850101;20240126;390;487.548;122.118;Mallersdorf-Pfaffenberg-Oberlindhart;Bayern;48.7548;12.2118
3155;20040801;20240126;413;501.015;68.009;Manderscheid-Sonnenhof;Rheinland-Pfalz;50.1015;6.8009
3158;19890101;20240126;12;525.468;145.453;Manschnow;Brandenburg;52.5468;14.5453
3164;20060701;20240126;187;508.492;87.745;Cölbe,;Hessen;50.8492;8.7745
3166;19820101;20240126;639;506.511;131.469;Marienberg;Sachsen;50.6511;13.1469
3167;19621201;20240126;547;506.621;79.603;Marienberg,;Rheinland-Pfalz;50.6621;7.9603
3170;20020101;20121221;9;544.937;112.411;Marienleuchte;Schleswig-Holstein;54.4937;11.2411
3181;20210801;20240126;360;494.875;106.277;Markt;Bayern;49.4875;10.6277
3196;19810101;20240126;81;533.222;119.321;Marnitz;Mecklenburg-Vorpommern;53.3222;11.9321
3204;20080701;20240126;429;507.335;108.815;Martinroda;Thüringen;50.7335;10.8815
